Country,Happiness.Rank,Happiness.Score,CountryName,CapitalLatitude,CapitalLongitude,Metric Data,Population Amount,Libraries Per Capita
Finland,5.0,7.468999862670901,Finland,60.16666666666666,24.933332999999998,152.0,5508214.0,2.759515153187585e-05
Canada,7.0,7.31599998474121,Canada,45.41666666666666,-75.7,4.0,36543321.0,1.0945912660756805e-07
New Zealand,8.0,7.31400012969971,New Zealand,-41.3,174.783333,3.0,4793900.0,6.257952815035774e-07
Australia,10.0,7.28399991989136,Australia,-35.266666666666666,149.133333,11803.0,24601860.0,0.00047976047339510103
Israel,11.0,7.212999820709231,Israel,31.766666666666666,35.233333,78.0,8713300.0,8.951832256435564e-06
Austria,13.0,7.00600004196167,Austria,48.2,16.366667,8.0,8797566.0,9.093424249388979e-07
Ireland,15.0,6.9770002365112305,Ireland,53.31666666666667,-6.233333,31.0,4807388.0,6.448408158442797e-06
Belgium,17.0,6.89099979400635,Belgium,50.83333333333334,4.3333330000000005,141.0,11375158.0,1.2395432221688701e-05
Luxembourg,18.0,6.86299991607666,Luxembourg,49.6,6.116667,11.0,596336.0,1.8445976764776904e-05
Chile,20.0,6.65199995040894,Chile,-33.45,-70.666667,10387.0,18470439.0,0.0005623580468228178
